"AOU","alpha","common","group"
2250,"AMAV","AMERICAN AVOCET","Shorebird.csv"
2260,"BNST","BLACK-NECKED STILT","Shorebird.csv"
2280,"AMWO","AMERICAN WOODCOCK","Shorebird.csv"
2300,"WISN","WILSON'S SNIPE","Shorebird.csv"
2310,"SBDO","SHORT-BILLED DOWITCHER","Shorebird.csv"
2320,"LBDO","LONG-BILLED DOWITCHER","Shorebird.csv"
2330,"STSA","STILT SANDPIPER","Shorebird.csv"
2340,"REKN","RED KNOT","Shorebird.csv"
2350,"PUSA","PURPLE SANDPIPER","Shorebird.csv"
2390,"PESA","PECTORAL SANDPIPER","Shorebird.csv"
2410,"BASA","BAIRD'S SANDPIPER","Shorebird.csv"
2420,"LESA","LEAST SANDPIPER","Shorebird.csv"
2430,"DUNL","DUNLIN","Shorebird.csv"
2460,"SESA","SEMIPALMATED SANDPIPER","Shorebird.csv"
2470,"WESA","WESTERN SANDPIPER","Shorebird.csv"
2480,"SAND","SANDERLING","Shorebird.csv"
2490,"MAGO","MARBLED GODWIT","Shorebird.csv"
2500,"BARG","BAR-TAILED GODWIT","Shorebird.csv"
2510,"HUGO","HUDSONIAN GODWIT","Shorebird.csv"
2540,"GRYE","GREATER YELLOWLEGS","Shorebird.csv"
2550,"LEYE","LESSER YELLOWLEGS","Shorebird.csv"
2560,"SOSA","SOLITARY SANDPIPER","Shorebird.csv"
2580,"WILL","WILLET","Shorebird.csv"
2590,"WATA","WANDERING TATTLER","Shorebird.csv"
2610,"UPSA","UPLAND SANDPIPER","Shorebird.csv"
2630,"SPSA","SPOTTED SANDPIPER","Shorebird.csv"
2640,"LBCU","LONG-BILLED CURLEW","Shorebird.csv"
2650,"WHIM","WHIMBREL","Shorebird.csv"
2680,"BTCU","BRISTLE-THIGHED CURLEW","Shorebird.csv"
2700,"BBPL","BLACK-BELLIED PLOVER","Shorebird.csv"
2720,"AMGP","AMERICAN GOLDEN-PLOVER","Shorebird.csv"
2721,"PAGP","PACIFIC GOLDEN-PLOVER","Shorebird.csv"
2730,"KILL","KILLDEER","Shorebird.csv"
2740,"SEPL","SEMIPALMATED PLOVER","Shorebird.csv"
2750,"CRPL","COMMON RINGED PLOVER","Shorebird.csv"
2770,"PIPL","PIPING PLOVER","Shorebird.csv"
2780,"SNPL","SNOWY PLOVER","Shorebird.csv"
2800,"WIPL","WILSON'S PLOVER","Shorebird.csv"
2810,"MOPL","MOUNTAIN PLOVER","Shorebird.csv"
2820,"SURF","SURFBIRD","Shorebird.csv"
2830,"RUTU","RUDDY TURNSTONE","Shorebird.csv"
2840,"BLTU","BLACK TURNSTONE","Shorebird.csv"
2860,"AMOY","AMERICAN OYSTERCATCHER","Shorebird.csv"
2870,"BLOY","BLACK OYSTERCATCHER","Shorebird.csv"
3120,"BTPI","BAND-TAILED PIGEON","DoveCucko.csv"
3130,"RBPI","RED-BILLED PIGEON","DoveCucko.csv"
3140,"WCPI","WHITE-CROWNED PIGEON","DoveCucko.csv"
3151,"SPDO","SPOTTED DOVE","DoveCucko.csv"
3152,"AFCD","AFRICAN COLLARED-DOVE","DoveCucko.csv"
3160,"MODO","MOURNING DOVE","DoveCucko.csv"
3180,"WTDO","WHITE-TIPPED DOVE","DoveCucko.csv"
3190,"WWDO","WHITE-WINGED DOVE","DoveCucko.csv"
3200,"COGD","COMMON GROUND-DOVE","DoveCucko.csv"
3201,"RUGD","RUDDY GROUND-DOVE","DoveCucko.csv"
3210,"INDO","INCA DOVE","DoveCucko.csv"
3240,"CALC","CALIFORNIA CONDOR","VultFalc.csv"
3250,"TUVU","TURKEY VULTURE","VultFalc.csv"
3260,"BLVU","BLACK VULTURE","VultFalc.csv"
3270,"STKI","SWALLOW-TAILED KITE","VultFalc.csv"
3271,"HBKI","HOOK-BILLED KITE","VultFalc.csv"
3280,"WTKI","WHITE-TAILED KITE","VultFalc.csv"
3290,"MIKI","MISSISSIPPI KITE","VultFalc.csv"
3300,"SNKI","SNAIL KITE","VultFalc.csv"
3310,"NOHA","NORTHERN HARRIER","VultFalc.csv"
3320,"SSHA","SHARP-SHINNED HAWK","VultFalc.csv"
3330,"COHA","COOPER'S HAWK","VultFalc.csv"
3340,"NOGO","NORTHERN GOSHAWK","VultFalc.csv"
3350,"HRSH","HARRIS'S HAWK","VultFalc.csv"
3370,"RTHA","RED-TAILED HAWK","VultFalc.csv"
3380,"HRLH","HARLAN'S HAWK","VultFalc.csv"
3390,"RSHA","RED-SHOULDERED HAWK","VultFalc.csv"
3400,"ZTHA","ZONE-TAILED HAWK","VultFalc.csv"
3410,"WTHA","WHITE-TAILED HAWK","VultFalc.csv"
3420,"SWHA","SWAINSON'S HAWK","VultFalc.csv"
3430,"BWHA","BROAD-WINGED HAWK","VultFalc.csv"
3440,"STHA","SHORT-TAILED HAWK","VultFalc.csv"
3450,"COBH","COMMON BLACK-HAWK","VultFalc.csv"
3460,"GRHA","GRAY HAWK","VultFalc.csv"
3470,"RLHA","ROUGH-LEGGED HAWK","VultFalc.csv"
3480,"FEHA","FERRUGINOUS HAWK","VultFalc.csv"
3490,"GOEA","GOLDEN EAGLE","VultFalc.csv"
3520,"BAEA","BALD EAGLE","VultFalc.csv"
3540,"GYRF","GYRFALCON","VultFalc.csv"
3550,"PRFA","PRAIRIE FALCON","VultFalc.csv"
3560,"PEFA","PEREGRINE FALCON","VultFalc.csv"
3570,"MERL","MERLIN","VultFalc.csv"
3590,"APFA","APLOMADO FALCON","VultFalc.csv"
3600,"AMKE","AMERICAN KESTREL","VultFalc.csv"
3620,"CRCA","CRESTED CARACARA","VultFalc.csv"
3640,"OSPR","OSPREY","VultFalc.csv"
3650,"BNOW","BARN-OWL","OwlNightj.csv"
3660,"LEOW","LONG-EARED OWL","OwlNightj.csv"
3670,"SEOW","SHORT-EARED OWL","OwlNightj.csv"
3680,"BDOW","BARRED OWL","OwlNightj.csv"
3690,"SPOW","SPOTTED OWL","OwlNightj.csv"
3700,"GGOW","GREAT GRAY OWL","OwlNightj.csv"
3710,"BOOW","BOREAL OWL","OwlNightj.csv"
3720,"NSWO","NORTHERN SAW-WHET OWL","OwlNightj.csv"
3730,"EASO","EASTERN SCREECH-OWL","OwlNightj.csv"
3731,"WHSO","WHISKERED SCREECH-OWL","OwlNightj.csv"
3732,"WESO","WESTERN SCREECH-OWL","OwlNightj.csv"
3740,"FLOW","FLAMMULATED OWL","OwlNightj.csv"
3750,"GHOW","GREAT HORNED OWL","OwlNightj.csv"
3760,"SNOW","SNOWY OWL","OwlNightj.csv"
3770,"NHOW","NORTHERN HAWK OWL","OwlNightj.csv"
3780,"BUOW","BURROWING OWL","OwlNightj.csv"
3790,"NOPO","NORTHERN PYGMY-OWL","OwlNightj.csv"
